algoritmo,metodo,funcao,seed,n,t_max,w_max,w_min,c1,c2,v_max,alpha,A,lambda,Q,d_nuc,d_rep,f_final,x_final,y_final
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,2.000000,2.144653,1.006397,-1.020448
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,5.000000,5.319971,0.934180,0.877131
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,5.000000,7.538815,-2.095935,0.950484
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,5.000000,8.954011,1.135386,-1.126393
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,10.000000,9.308651,-0.860167,2.060192
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,10.000000,12.731356,-3.099965,0.961700
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,10.000000,9.246962,2.158053,0.016025
PSO,clamp,Rosenbrock,1,30,200,,,2.000000,2.000000,2.000000,,,,,,,0.000598,0.992916,0.983542
PSO,clamp,Rosenbrock,2,30,200,,,2.000000,2.000000,2.000000,,,,,,,0.000437,1.018123,1.035533
PSO,clamp,Rosenbrock,3,30,200,,,2.000000,2.000000,2.000000,,,,,,,0.003674,0.984769,0.963904
PSO,clamp,Rosenbrock,1,30,200,,,2.000000,2.000000,5.000000,,,,,,,0.001400,0.963159,0.927019
PSO,clamp,Rosenbrock,2,30,200,,,2.000000,2.000000,5.000000,,,,,,,0.000247,1.004470,1.010467
PSO,clamp,Rosenbrock,3,30,200,,,2.000000,2.000000,5.000000,,,,,,,0.016122,0.891764,0.801882
PSO,clamp,Rosenbrock,1,30,200,,,2.000000,2.000000,10.000000,,,,,,,0.007430,1.068254,1.146431
PSO,clamp,Rosenbrock,2,30,200,,,2.000000,2.000000,10.000000,,,,,,,0.087345,0.921842,0.878295
PSO,clamp,Rosenbrock,3,30,200,,,2.000000,2.000000,10.000000,,,,,,,0.041080,1.186414,1.415535
PP,inertia,Rosenbrock,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,0.500000,,,,0.003688,1.048016,1.094618
PP,inertia,Rosenbrock,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,0.500000,,,,0.011104,0.921427,0.856049
PP,inertia,Rosenbrock,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,0.500000,,,,0.001075,1.000151,1.003580
PP,inertia,Rosenbrock,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,1.000000,,,,0.002455,0.980270,0.965475
PP,inertia,Rosenbrock,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,1.000000,,,,0.000632,0.990331,0.978434
PP,inertia,Rosenbrock,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,1.000000,,,,0.001850,0.971941,0.941410
PP,inertia,Rosenbrock,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,2.000000,,,,0.000427,1.013936,1.029592
PP,inertia,Rosenbrock,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,2.000000,,,,0.000066,1.000686,1.000563
PP,inertia,Rosenbrock,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,2.000000,,,,0.000295,0.987105,0.975513
PP,inertia,Rosenbrock,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,0.500000,,,,0.011005,0.895282,0.800901
PP,inertia,Rosenbrock,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,0.500000,,,,0.012289,1.005026,0.999003
PP,inertia,Rosenbrock,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,0.500000,,,,0.024094,0.858203,0.742827
PP,inertia,Rosenbrock,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,1.000000,,,,0.001278,1.032909,1.068298
PP,inertia,Rosenbrock,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,1.000000,,,,0.005298,0.938996,0.877743
PP,inertia,Rosenbrock,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,1.000000,,,,0.000618,0.998062,0.993650
PP,inertia,Rosenbrock,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,2.000000,,,,0.000528,1.014289,1.030581
PP,inertia,Rosenbrock,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,2.000000,,,,0.006292,0.925693,0.859684
PP,inertia,Rosenbrock,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,2.000000,,,,0.005484,0.926449,0.857444
PP,inertia,Rosenbrock,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,5.000000,0.500000,,,,0.001252,0.966501,0.932983
PP,inertia,Rosenbrock,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,5.000000,0.500000,,,,0.042955,1.203506,1.452352
PP,inertia,Rosenbrock,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,5.000000,0.500000,,,,0.011026,1.096880,1.199095
PP,inertia,Rosenbrock,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,5.000000,1.000000,,,,0.000511,1.017418,1.033699
PP,inertia,Rosenbrock,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,5.000000,1.000000,,,,0.005891,1.065711,1.139707
PP,inertia,Rosenbrock,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,5.000000,1.000000,,,,0.026347,0.945781,0.879202
